제품명,알러지 성분,중량(g),열량(kcal),단백질(g),나트륨(mg),당류(g),포화지방(g),카페인(mg)(고카페인함유),원산지
데리버거,"밀, 대두, 난류, 우유, 쇠고기, 닭고기, 조개류",134,348,12(22),590(30),10,4.9(33),,쇠고기 호주산
치킨버거,"밀, 대두, 난류, 우유, 땅콩, 닭고기, 조개류",141,355,15(28%),619(31%),8,3.8(25%),,닭고기 국내산 브라질산섞음
치킨_버거,"밀, 대두, 난류, 우유, 땅콩, 닭고기, 쇠고기, 조개류",141,355,15(28%),619(31%),8,3.8(25%),,닭고기 브라질산
T-REX버거,"밀, 대두, 난류, 우유, 닭고기, 땅콩",213,475,26(48%),874(44%),7,5.4(36%),,닭고기 브라질산
리아미라클Ⅱ버거,"밀, 대두, 토마토",181,352,15(27%),550(28%),9,4.0(27%),,
더블리아미라클Ⅱ버거,"밀, 대두, 토마토",245,520,24(44%),880(44%),11,7.0(47%),,
새우버거,"밀, 대두, 난류, 우유, 토마토, 새우",179,492,15(27%),810(40%),7,4.7(31%),,새우패티 베트남산
새우_버거,"밀, 대두, 난류, 우유, 토마토, 새우",179,492,15(27%),810(40%),7,4.7(31%),,명태연육 미국산
사각새우더블버거,"밀, 대두, 난류, 우유, 토마토, 새우",208,556,17(32%),962(48%),7,5.1(34%),,새우패티 베트남산
사각_새우더블버거,"밀, 대두, 난류, 우유, 토마토, 새우",208,556,17(32%),962(48%),7,5.1(34%),,명태연육 미국산
모짜렐라 인더 버거-베이컨,"난류, 밀, 대두, 우유, 쇠고기, 돼지고기",223,699,30(55%),1020(51%),6,16.0(107%),,"쇠고기 - 호주산, 베이컨 - 돼지고기 외국산"
불고기버거,"밀, 대두, 난류, 우유, 쇠고기,토마토,돼지고기,닭고기",188,476,20(36%),778(39%),10,7.2(48%),,쇠고기 호주산
전주비빔라이스버거,"난류, 밀, 대두, 쇠고기",285,572,17(31),1460(73),8,8(53),,쌀-국내산 쇠고기-호주산
핫크리스피버거,"밀, 대두, 난류, 토마토, 닭고기",190,503,22(40%),929(46%),5,7.3(49%),,닭고기 국내산
DoubleX2버거,"밀, 대두, 우유, 난류, 쇠고기, 토마토",228,716,25(45),1070(54),7,25(167),,쇠고기 호주산
불고기 익스트림 오징어,"난류, 밀, 대두, 우유, 쇠고기, 닭고기, 토마토, 돼지고기, 새우, 오징어",254,650,29(53),1070(54),14,8(53),,"쇠고기 - 호주산, 오징어 - 페루산, 명태연육 - 미국산"
불고기 베이컨,"난류, 밀, 대두, 우유, 쇠고기, 닭고기, 토마토, 돼지고기",220,522,22(40),840(42),11,9(60),,"쇠고기 - 호주산, 베이컨-돼지고기 외국산"
새우 익스트림 레몬크림,"난류, 밀, 대두, 우유, 토마토, 새우",235,534,17(31),910(46),12,4.1(27),,새우패티 - 베트남산
새우_익스트림 레몬크림,"난류, 밀, 대두, 우유, 토마토, 새우",235,534,17(31),910(46),12,4.1(27),,명태연육 - 미국산
새우 베이컨,"난류, 밀, 대두, 우유, 토마토, 돼지고기, 새우",211,538,17(31),870(44),7,6(40),,"새우패티-베트남산, 베이컨-돼지고기 외국산"
새우_베이컨,"난류, 밀, 대두, 우유, 토마토, 돼지고기, 새우",211,538,17(31),870(44),7,6(40),,"명태연육-미국산, 베이컨-돼지고기 외국산"
더블 데리버거,"난류, 밀, 대두, 우유, 쇠고기, 닭고기, 조개류(가리비)",170,446,19(35),740(37),10,7.0(47%),,쇠고기-호주산
더블 치킨버거,"난류, 밀, 대두, 우유, 닭고기, 땅콩, 조개류(가리비)",205,478,24(44),950(48),11,5.0(33%),,닭고기-국내산 브라질산 섞음
더블_치킨버거,"난류, 밀, 대두, 우유, 닭고기, 땅콩, 쇠고기, 조개류(가리비)",205,478,24(44),950(48),11,5.0(33%),,닭고기-브라질산
더블 클래식치즈버거,"난류, 밀, 대두, 우유, 쇠고기",213,731,25(45),1110(56),6,25.0(167),,쇠고기-호주산
마라로드치킨,"난류, 밀, 대두, 우유, 쇠고기, 닭고기, 토마토, 땅콩, 조개류(가리비, 굴)",240,573,27(49),1210(61),14,6(40),,닭고기-브라질산
마라로드새우,"난류, 밀, 대두, 우유, 쇠고기, 토마토, 새우, 조개류(가리비, 굴)",208,509,13(24),1100(55),14,4.2(28),,새우패티-베트남산
마라로드_새우,"난류, 밀, 대두, 우유, 쇠고기, 토마토, 새우, 조개류(가리비, 굴)",208,509,13(24),1100(55),14,4.2(28),,명태연육-미국산
마라로드비프,"난류, 밀, 대두, 우유, 쇠고기, 토마토, 조개류(굴)",225,661,20(36),970(49),13,16(107),,쇠고기-호주산
왕돈까스버거,"난류, 밀, 대두, 토마토, 우유, 쇠고기, 돼지고기, 조개류(굴)",318,901,35(64),1570(79),14,8(53),,돼지고기 - 캐나다산
매운 왕돈까스버거,"난류, 밀, 대두, 토마토, 우유, 쇠고기, 돼지고기, 조개류(굴)",318,903,35(64),1580(79),15,8(53),,돼지고기 - 캐나다산
한우불고기버거,"밀, 대두, 난류, 우유, 토마토, 쇠고기",236,572,24(43%),797(40%),15,12.0(80%),,쇠고기 국내산한우
더블한우불고기버거,"난류, 밀, 대두, 우유, 쇠고기. 토마토",352,802,48(87%),1150(58%),18,20.0(133%),,쇠고기 국내산한우
한우트러플머쉬룸버거,"난류, 밀, 대두, 우유, 닭고기, 쇠고기",271,584,25(45%),985(49%),18,14.7(98%),,쇠고기 국내산한우
빅불버거,"밀, 대두, 난류, 우유, 쇠고기, 토마토, 돼지고기, 닭고기",270,761,36(65),1370(69),12,16(107),,쇠고기 호주산
클래식치즈버거_(버터번),"우유, 대두, 밀, 쇠고기, 난류",146,492,16(29),770(39),5,14(93),,쇠고기 호주산
힙&핫치킨버거,"우유,대두,밀,닭고기,쇠고기,토마토,난류",229,597,25(45%),1473(74%),20,7.6(50%),,닭고기 브라질산
포테이토,대두,89,267,4(7%),322(16%),0,3.2(21%),,
포테이토(L),대두,130,389,6(10%),471(24%),0,4.7(31%),,
웨지포테이토,"대두, 밀",117,242,3(6%),174(9%),0,0.5(3%),,
치킨너겟,"쇠고기, 닭고기, 밀, 대두, 우유",85,198,12(22%),361(18%),0,3.3(22%),,닭고기 국내산
양념감자(오니언),"대두, 우유",122,365,5(9%),544(27%),1,4.2(28%),,
양념감자(치즈),"대두, 우유",121,365,5(10%),544(28%),2,4.4(29%),,
양념감자(칠리),"밀, 대두, 우유, 토마토, 쇠고기",120,358,5(9%),584(29%),1,4.2(28%),,
내츄럴치즈스틱,"난류, 밀, 대두, 우유",49,160,9(16%),183(9%),0,2.6(17%),,
롱치즈스틱,"난류, 밀, 대두, 우유",49,156,8(14%),236(12%),0,7.0(47%),,
모짜크림치즈볼," 밀, 대두, 우유",59,218,3(6%),177(9%),6,4.4(29%),,
콘샐러드,"난류, 밀, 대두, 우유, 조개류",100,146,2(3%),190(9%),1,1.3(9%),,
청주 매운만두 4조각,"난류, 밀, 대두, 우유, 쇠고기, 닭고기, 돼지고기, 새우, 조개류(굴, 바지락, 모시조개)",126,330,10(18),420(21),3,4.7(31),,"김치(배추-국내산, 고춧가루-국내산)"
청주 미친만두 4조각,"난류, 밀, 대두, 우유, 쇠고기, 닭고기, 돼지고기, 새우, 조개류(굴, 바지락, 모시조개)",126,346,10(18),480(24),3,4.9(33),,"김치(배추-국내산, 고춧가루-국내산)"
청주 섞미만두,"난류, 밀, 대두, 우유, 쇠고기, 닭고기, 돼지고기, 새우, 조개류(굴, 바지락, 모시조개)",126,338,10(18),450(23),3,4.8(32),,"김치(배추-국내산, 고춧가루-국내산)"
청주 매운만두 2조각,"난류, 밀, 대두, 우유, 쇠고기, 닭고기, 돼지고기, 새우, 조개류(굴, 바지락, 모시조개)",63,165,5(9),210(11),2,2.3(15),,"김치(배추-국내산, 고춧가루-국내산)"
청주 미친만두 2조각,"난류, 밀, 대두, 우유, 쇠고기, 닭고기, 돼지고기, 새우, 조개류(굴, 바지락, 모시조개)",63,173,5(9),240(12),2,2.5(17),,"김치(배추-국내산, 고춧가루-국내산)"
깡돼후 돼지후라이드,"난류, 밀, 대두, 쇠고기, 돼지고기 (크리미양념소스 선택시, 토마토)",173,540~565,19(35),930(47)~1110(56),15~20,6(40)~7.4(49),,돼지고기 - 국내산
깡돼후 돼지후라이드 콤보,"난류, 밀, 대두, 쇠고기, 돼지고기 (크리미양념소스 선택시, 토마토)",593,667~692,19(35),945(47)~1125(56),46~51,6(40)~7.4(49),,돼지고기 - 국내산
허니머스타드,"난류, 대두",11,25,0(0%),70(3%),2,0.3(2%),,
통오징어링,"오징어, 밀, 난류, 대두",77,179,8(14%),333(17%),1,0.8(6%),,오징어링 중국산
시나몬 슈가 시즈닝,우유,4,16,0(0%),0(0%),4,0.0(0%),,
잠발라야소스,토마토,20,33,0(0%),121(6%),7,0.0(0%),,
롯데리아빙수(보냉X),우유,511,602,9(16%),150(8%),98,3.4(23%),,
롯데리아빙수(보냉o),우유,511,602,9(16%),150(8%),98,3.4(23%),,
토네이토초코쿠키,"밀, 대두, 우유",175,305,4(7%),140(7%),31,8.0(53%),,
토네이토스트로베리,우유,177,268,3(5%),70(4%),34,7.0(47%),,
토네이도 허쉬초코,"우유, 대두",183,313,4(7%),75(4%),40,8.0(53%),,
토네이도 더블초코,"밀, 대두, 우유 ",190,345,5(9),145(7),40,9(60),,
지파이 고소한맛(S),"밀, 대두, 난류, 닭고기, 땅콩",136,422,20(36%),656(33%),1,6.8(46%),,닭고기 국내산
지파이 하바네로(L),"밀, 대두, 난류, 닭고기",170,566,28(52%),1180(59%),0,9.8(66%),,닭고기 국내산
페스츄리꽈배기,"밀, 대두, 우유, 계란",104,450,8(14%),437(22%),8,9.5(63%),,
페스츄리꽈배기 시나몬,"밀, 대두, 우유, 계란",108,466,8(14%),437(22%),12,9.5(63%),,
꽈배기콤보 플레인,"밀, 대두, 우유, 계란",414,688,15(27%),527(26%),37,15.2(101%),,
꽈배기콤보 시나몬,"밀, 대두, 우유, 계란",418,704,15(27%),527(26%),41,15.2(101%),,
스위트앤사워,"밀, 대두",11,24,0(0%),53(3%),4,0.0(0%),,
칠리 시즈닝,"우유, 대두, 밀, 토마토, 쇠고기",3,8,0(0%),160(8%),1,0.0(0%),,
어니언 시즈닝,"우유 , 대두",5,15,0(0%),120(6%),1,0.0(0%),,
치즈시즈닝,"우유 , 대두",4,15,0(1%),130(7%),2,0.2(1%),,
갈비맛소스,"대두, 밀",40,87,0(0),410(21),13,0(0),,
크리미마늘소스,"난류, 대두",40,112,0(0),230(12),8,1.4(9),,
크리미양념소스,"난류, 대두, 토마토",40,99,0(0),360(18),9,0.7(5),,
데리야끼소스,"밀, 대두. 닭고기, 조개류",40,70,1(2%),390(19%),10,0.0(0%),,
머스타드소스,"난류, 대두",40,91,0(1%),150(7%),5,1.0(7%),,
핫소스,"난류, 밀, 대두, 토마토, 쇠고기, 조개류",40,102,0(1%),162(8%),9,0.2(2%),,
필로우 돈까스소스 30G,"토마토, 대두, 밀, 우유,  쇠고기, 돼지고기, 조개류(굴)",30,32,0(0%),200(10%),5,0(0%),,
필로우 매운돈까스소스 30G,"토마토, 대두, 밀, 우유,  쇠고기, 조개류(굴)",30,36,0(0%),210(11%),7,0(0%),,
쉑쉑치킨(오니언),"난류, 밀, 대두, 우유, 닭고기",89,259,15(28%),353(18%),2,2.5(17%),,닭고기 국내산 브라질산섞음
쉑쉑치킨(치즈),"난류, 밀, 대두, 우유, 닭고기",88,259,16(29%),363(18%),3,2.7(18%),,닭고기 국내산 브라질산섞음
쉑쉑치킨(칠리),"난류, 밀, 대두, 우유, 토마토, 쇠고기, 닭고기",87,252,15(28%),393(20%),1,2.5(17%),,닭고기 국내산 브라질산섞음
치킨 1조각 ,"난류, 밀, 대두, 땅콩, 닭고기",130,272,18(30%),694(35%),2,4.1(27%),,닭고기 국내산
1인혼닭,"밀, 대두, 우유, 닭고기, 쇠고기, 조개류",350 ,568 ,61(111%),1594(80%),1 ,8.4(56%),,닭고기 국내산
치킨풀팩 - 콘샐러드,"밀, 대두, 난류, 조개류, 닭고기, 땅콩, 우유",1272 ,2590 ,166(302%),6439(322%),15 ,38.3(255%),,닭고기 국내산
치킨풀팩 - 포테이토,"난류, 밀, 대두, 땅콩, 닭고기",1261 ,2711 ,168(305%),6571(329%),14 ,40.2(268%),,닭고기 국내산
치킨하프팩 - 콘샐러드,"밀, 대두, 난류, 조개류, 닭고기, 땅콩, 우유",621 ,1232 ,75(136%),2967(148%),8 ,17.8(118%),,닭고기 국내산
치킨하프팩 - 포테이토,"난류, 밀, 대두, 땅콩, 닭고기",610 ,1353 ,77(140%),3100(155%),6 ,19.6(131%),,닭고기 국내산
치킨패밀리팩_포테이토,"밀, 대두, 난류, 조개류, 닭고기, 땅콩",771 ,1714 ,100(182%),3744(187%),6 ,24.0(160%),,닭고기 국내산 화이어윙 닭고기 태국산
치킨패밀리팩_콘샐러드,"밀, 대두, 난류,  조개류, 닭고기, 땅콩, 우유",782 ,1594 ,98(178%),3612(181%),8 ,22.1(148%),,닭고기 국내산 화이어윙 닭고기 태국산
치킨휠레2조각,"난류, 밀, 대두, 우유, 닭고기, 새우, 땅콩, 조개류(굴)",77,183,15(26%),370(18%),0,1.9(13%),,닭고기 국내산
치킨휠레4조각,"난류, 밀, 대두, 우유, 닭고기, 새우, 땅콩, 조개류(굴)",153,366,29(53%),740(37%),0,3.8(25%),,닭고기 국내산
화이어윙2조각,"난류, 밀, 대두, 땅콩, 닭고기",85,178,9(16%),275(14%),0,2.5(17%),,닭고기 태국산
화이어윙4조각,"난류, 밀, 대두, 땅콩, 닭고기",170,357,17(31%),549(27%),0,5.0(33%),,닭고기 태국산
순살치킨하프,"난류, 밀, 대두, 닭고기, 쇠고기",244,739,36(65%),1341(67%),3,13.0(87%),,닭고기 브라질산
순살치킨풀팩,"난류, 밀, 대두, 닭고기, 쇠고기",487,1477,71(129%),2682(134%),6,26.0(173%),,닭고기 브라질산
비프패티토핑,쇠고기,49,172,7(12%),155(8%),0,6.6(44%),,쇠고기 : 호주산
반숙계란 토핑,"난류, 대두",45,41,4(7),204(10),0.1,0.4(2),,
베이컨토핑,돼지고기,12,42,2(4%),58(3%),0,1.7(11%),,베이컨 : 돼지고기 외국산
토마토토핑,토마토,20,4,0(0%),1(0%),1,0.0(0%),,
화이트치즈 토핑,우유,18,60,3(5%),140(7%),0,3.0(20%),,
치킨무,,130,13,0(1%),116(6%),2,0.0(0%),,
치즈토핑,우유,18,66,3(5%),174(9%),0,4.0(27%),,
더블팩 - 콜라,"밀, 대두, 난류, 우유, 토마토, 쇠고기, 돼지고기, 닭고기",1798,2073,56(102%),2489(124%),154,21.9(146%),,"닭고기 - 국내산, 쇠고기 호주산"
더블팩 - 사이다,"밀, 대두, 난류,  우유, 토마토, 쇠고기, 돼지고기, 닭고기",1798,2073,56(102%),2489(124%),154,21.9(146%),,"닭고기 - 국내산, 쇠고기 호주산"
투게더팩 - 콜라,"밀, 대두, 난류, 우유, 쇠고기, 돼지고기, 닭고기, 토마토, 땅콩, 조개류",1760,1977,43(78),2196(110),164,20.1(134),,"쇠고기-호주산, 닭고기 국내산 브라질산 섞음"
투게더_팩_콜라,"밀, 대두, 난류, 우유, 쇠고기, 돼지고기, 닭고기, 토마토, 땅콩, 조개류",1760,1977,43(78),2196(110),164,20.1(134),,"쇠고기-호주산, 닭고기 브라질산"
투게더팩 - 사이다,"밀, 대두, 난류, 우유, 쇠고기, 돼지고기, 닭고기, 토마토, 땅콩, 조개류",1760,1977,43(78),2196(110),164,20.1(134),,"쇠고기-호주산, 닭고기 국내산 브라질산섞음"
투게더_팩_사이다,"밀, 대두, 난류, 우유, 쇠고기, 돼지고기, 닭고기, 토마토, 땅콩, 조개류",1760,1977,43(78),2196(110),164,20.1(134),,"쇠고기-호주산, 닭고기 브라질산"
패밀리팩 - 콜라,"밀, 대두, 난류, 우유, 쇠고기, 토마토, 돼지고기, 닭고기, 조개류, 오징어",2043,2790,84(153),3526(176),167,36.2(241),,"쇠고기-호주산, 베이컨 - 돼지고기 외국산, 오징어링 중국산"
패밀리팩 - 사이다,"밀, 대두, 난류, 우유, 쇠고기, 토마토, 돼지고기, 닭고기, 조개류, 오징어",2043,2790,84(153),3526(176),167,36.2(241),,"쇠고기-호주산, 베이컨 - 돼지고기 외국산, 오징어링 중국산"
제로슈거콜라,-,420,0,0(0%),56(3%),0,0.0(0%),,
제로슈거콜라(L),-,570,0,0(0%),77(4%),0,0.0(0%),,
콜라,-,420,127,0(0%),15(1%),31,0.0(0%),,
콜라(L),-,570,173,0(0%),20(1%),42,0.0(0%),,
사이다,-,420,133,0(1%),7(0%),31,0.0(0%),,
사이다(L),-,570,182,0(1%),9(0%),42,0.0(0%),,
레몬에이드,대두,310,151,0(0%),20(1%),34,0.0(0%),,
레몬에이드(L),대두,467,217,0(0%),29(1%),49,0.0(0%),,
미숫가루라떼 R,"우유, 대두",310,238,7(13%),91(5%),29,5.7(38%),,
미숫가루라떼 L,"우유, 대두",470,339,11(19%),131(7%),40,8.2(55%),,
복숭아홍차에이드 R,복숭아,320,160,0(0),10(1),38,0(0),,
복숭아홍차에이드 L,복숭아,470,224,0(0),10(1),53,0(0),,
자두쿨에이드 R,"대두, 우유",320,162,0(0),20(1),36,0.1(1),,
자두쿨에이드 L,"대두, 우유",470,226,0(0),25(1),51,0.1(1),,
아이스티,복숭아,310,160,0(0%),0(0%),39,0.0(0%),,
아이스티(L),복숭아,467,232,0(0%),0(0%),57,0.0(0%),,
캐모마일 티,,241,2,0(0),0(0),0,0(0),,
애플 캐모마일 티,,291,129,0(0),10(1),27,0(0),,
아메리카노,-,290,34,1(2%),2(0%),0,0.5(3%),106,
카페라떼,우유,300,206,11(20%),105(5%),12,5.6(37%),115,
아이스아메리카노,-,310,32,1(2%),2(0%),0,0.5(3%),86,
아이스아메리카노(L),-,530,55,2(3%),3(0%),0,0.8(6%),115,
아이스카페라떼,우유,295,106,5(9%),40(2%),5,2.1(14%),106,
